city,country,latitude,longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),city ID
mantua,cu,24.959579663617347,-85.17959115946617,76.69,94,0,5.06,3547930
dingle,ie,47.38168197433782,-13.754375268445187,51.31,100,8,7.18,2964782
beloha,mg,-28.686097966873035,40.09547088024996,88.52,41,0,5.84,1067565
manado,id,2.233198113366086,124.95656564096134,82.4,74,20,3.36,1636544
kindu,cd,-3.588733786420164,24.839924971051175,80.92,72,36,2.93,212902
laguna,br,-30.845346261034322,-44.82900806851697,63.77,100,76,18.25,3459094
sangin,af,32.35797447992782,64.63540009372593,66.92,78,0,5.17,1127547
nome,us,66.66711244560582,-161.74930494624792,42.98,82,90,11.41,5870133
hope,ca,49.872026141539465,-121.81219073887839,42.8,75,1,8.05,5976783
iskateley,ru,67.33421756743863,54.43807335418421,36.05,91,56,5.95,866062
hokitika,nz,-42.53233249539535,168.79004301636616,50.32,100,0,4.72,2206894
ambilobe,mg,-11.018895939236359,51.339096845293994,92.84,33,0,15.46,1082243
buclad,ph,7.517194708007324,125.76078539430682,82.4,74,90,9.17,1723556
anadyr,ru,65.406664689325,176.36370004471894,32,100,75,6.71,2127202
kyaikkami,mm,15.449041136975353,96.84522332481981,86.14,82,32,5.61,1317402
barranca,pe,-3.8474135238548683,-76.75427825312902,60.67,99,76,9.31,3946820
pitimbu,br,-7.056751158443987,-25.989917062652893,75.2,83,20,3.36,3391889
mahebourg,mu,-52.49991837356706,77.28077816898173,78.8,61,20,11.41,934322
boyolangu,id,-10.672412991079938,110.85468538555818,79.12,93,0,7.85,1648082
sayyan,ye,15.181607232244076,44.772679989701146,73.67,27,0,5.84,70979
palu,id,-0.4599022670698645,120.13062265010188,78.35,99,68,1.92,1633034
cockburn town,tc,24.910119925802547,-70.08650570733772,82.09,100,68,11.21,3576994
den helder,nl,53.364452799591476,4.5697369524699525,63.18,72,0,9.17,2757220
uzyn,ua,49.96802759285103,30.43022575087943,61.59,39,0,2.24,690545
morros,br,-9.18245904890955,-46.07985606053256,77,67,76,8.86,3394372
port hardy,ca,45.39197829950834,-135.08392610676222,39.2,93,90,4.7,6111862
kaoma,zm,-16.122073800762763,24.97482871496274,86.41,39,36,10.2,913323
kruisfontein,za,-47.82962952412965,24.789032266738644,68.81,81,8,11.32,986717
baoqing,cn,46.397811545643236,132.8526332667155,55.85,51,68,7.74,2038446
itoman,jp,24.333540465336483,128.181351546332,77.02,80,90,11.41,1861280
marienburg,sr,7.879076993737968,-54.50550741938471,76.05,88,20,10.2,3383570
chokurdakh,ru,86.15090600484308,143.95516109935795,24.94,94,92,3.6,2126123
vilcun,cl,-38.49275027136181,-70.23709683541223,32.14,82,64,1.59,3868210
komsomolskiy,ru,79.58765115349237,174.8069236001075,65.62,52,0,5.5,545728
mahina,pf,-13.81583464152149,-148.42196349220637,78.8,78,40,3.36,4034307
belgrade,us,45.415331493868166,-111.7277561504256,37.89,85,90,11.41,5063781
navrongo,gh,10.702867206770904,-1.5403173729343962,84.97,79,0,4.61,2297505
pacific grove,us,35.26587420278973,-123.67196105065042,55.72,75,90,2.37,5380437
puerto escondido,mx,12.468913718222893,-97.97010110599791,79.84,100,92,5.39,3520994
mar del plata,ar,-55.13473707150833,-44.032339797954194,50,76,0,17.22,3430863
danshui,cn,21.808812262311136,115.05879911330351,78.04,90,36,8.86,1813812
labuhan,id,-19.117646019558023,94.27857975189568,83.93,100,36,10.09,8079926
aksha,ru,50.46731764409432,112.9524740544847,45.05,38,0,2.71,2028028
auki,sb,-2.8433786687046876,165.84940791946383,81.14,99,80,10.2,2109701
kapuskasing,ca,50.23629254806741,-82.64318797274625,32,96,90,3.36,5989403
bin qirdan,tn,32.83802495857937,10.942528628200506,77.36,72,8,3.6,2472431
westport,nz,-38.81714447618789,168.33125859373354,43.66,100,0,1.92,2206900
ayan,ru,57.4212182714605,139.60489748861107,38.03,59,0,2.37,2027317
cap malheureux,mu,-16.312918304213497,55.06613893960886,78.8,61,20,11.41,934649
clarksburg,us,39.24507828732786,-80.83710714504517,42.6,82,20,3.36,4802316
katsuura,jp,25.545643342379392,144.62685696888815,66.2,72,75,6.93,2112309
kupang,id,-13.566725936923575,123.27507363980175,84.2,70,20,9.17,2057087
bezopasnoye,ru,45.69032985962261,41.98688376042384,60.8,15,0,6.71,576519
rojhan,pk,28.927060053148836,69.58790635338534,93.74,41,0,5.61,1166819
san cristobal,ec,0.8637489738142534,-86.52422134472,69.98,100,88,13.56,3651949
wawa,ca,47.34880063799983,-85.51205908740906,42.17,100,92,9.53,6177178
kadirli,tr,37.313997872646894,36.22976580801026,82.67,53,0,4.27,310892
leningradskiy,ru,81.23014889051203,178.7849873326196,35.02,95,92,14.23,2123814
haines junction,ca,59.57346766469132,-138.91095175467586,38.89,96,92,3.71,5969025
chimoio,mz,-19.056175115219702,33.413270254944706,76.28,78,64,3.71,1049261
wolow,pl,51.441439963362626,16.69183761568928,64.4,55,0,13.87,3081430
ouargaye,bf,11.57427644708757,0.08497045619284904,85.1,79,24,6.4,2357012
nichinan,jp,30.071102733668226,133.7720929088228,67.73,56,75,4.7,1855476
marathon,us,25.21726912465104,-81.3679763415401,82.78,81,1,5.82,4163379
harper,lr,1.1378728695982545,-7.293195646687735,76.19,100,92,2.71,2276492
moree,au,-29.19200774834438,150.17999236384657,66.61,63,12,11.99,2156927
askarovo,ru,53.13151675414443,58.38280649902546,37.4,44,75,15.66,580584
shahreza,ir,32.22166603756638,52.86100917668551,67.87,28,12,3.38,417594
dawei,mm,13.689059155462814,96.93758206251277,82.09,83,44,1.36,1293625
morondava,mg,-20.283174941437622,42.896738337405935,91.72,47,0,5.84,1058381
kolondieba,ml,10.88993696306548,-6.927484511220882,80.56,79,32,4.61,2454934
port augusta,au,-28.753206027108533,138.44214487690778,75.2,60,90,6.93,7839451
la ronge,ca,60.53039504703759,-106.97125947756155,23,67,90,5.82,6050066
kununurra,au,-14.709428605345039,124.95720301483169,96.8,44,20,10.29,2068110
vestmanna,fo,63.35180658492351,-7.4124910825673,44.6,87,36,6.93,2610343
nelson bay,au,-37.02702959130977,159.13434783870684,64.4,72,40,8.05,2155562
hollola,fi,61.37606897792267,25.56856147530695,58.42,79,0,8.52,657530
cherskiy,ru,82.72434165737042,164.18870497561147,24.17,100,88,4.5,2126199
san marcos,mx,16.568616413877052,-99.46368376652045,75.2,94,90,6.93,3518461
loreto,mx,26.256798757422132,-110.57305371964486,53.78,98,44,2.93,3998291
victor harbor,au,-40.04716532969784,135.8198618451496,68,77,76,8.05,7839466
leo,bf,11.040315148486314,-2.3424900897169607,82.22,92,0,5.73,2358382
el dorado,us,37.742101408265924,-96.54346086063907,64.24,100,20,3.36,4109785
santa fe,us,29.422234795682158,-95.13602741014942,49.82,8,1,4.7,5490263
xam nua,la,19.55779018404884,104.23760405566526,79.79,60,0,2.48,1652203
svetlyy,ru,50.73864805320281,62.280344743968556,50,87,90,8.95,831137
mitu,co,0.34459944475072746,-69.01931201203205,72.5,98,12,2.15,3674676
sisimiut,gl,66.02638870086159,-54.14956457206408,11.71,100,36,2.59,3419842
aksarka,ru,70.58354766937674,68.81903877155116,28.99,96,64,6.73,1512019
shubarkuduk,kz,48.24448303766468,55.12466713864336,45.14,61,68,8.41,608271
acajutla,sv,11.969521332332292,-90.5913058912594,71.33,95,20,2.37,3587498
evensk,ru,61.58784654444656,158.7072589361901,36.86,100,8,15.01,2125693
dunedin,nz,-48.515670327911266,175.01066018998398,42.17,69,0,9.64,2191562
puerto quijarro,bo,-17.794955279660456,-56.411424166138346,73.31,77,24,7.74,3444201
santa adelia,br,-21.22245980489869,-48.746355617493975,74.26,84,48,2.37,3450464
sioux lookout,ca,53.21573534288123,-92.56802956106408,30.88,100,90,10.29,6148373
darnah,ly,33.4884090524491,23.363569375349044,73.67,100,44,4.61,87205
puerto narino,co,-2.3874722498446204,-70.65516003821493,73.4,100,40,2.48,3671387
rio rancho,us,35.61930203240222,-107.24156906895979,52.68,68,90,4.7,5487811
medea,dz,36.76400733624398,2.238184056003348,77,44,40,3.6,2488835
bad goisern,at,47.609237940609574,13.501825216420485,68,40,0,11.41,7872008
remedios,co,6.875810573558169,-74.4304271366942,70.34,97,56,1.92,3670899
ryotsu,jp,39.435827928085615,138.47667201595613,64.4,68,20,6.93,1853371
braganca,pt,41.83793440993469,-6.412561029365378,44.11,94,80,11.77,2742027
lavrentiya,ru,66.8528664215849,-172.87990917861543,43.43,96,88,14.67,4031637
villarrica,cl,-39.579197434772766,-70.815649934283,35.78,97,92,1.14,3868158
craig,us,41.136968800014955,-107.55366927379187,33.93,86,90,4.7,5576064
zhigansk,ru,72.08273618823765,120.73898889416739,28.31,88,64,7.4,2012530
baykit,ru,60.26268009167677,97.19899669153028,44.96,70,48,3.71,1510689
vilhena,br,-13.213355383746347,-60.776303316506784,70.25,93,32,2.15,3924679
najran,sa,17.688909797771032,46.695972255482786,84.2,20,0,6.93,103630
sugar land,us,29.551512733458026,-95.61242308982696,77.27,88,1,5.82,4734825
hearst,ca,50.26457708799697,-82.93009751029328,32.41,98,92,4.61,5973108
nanma,cn,36.072646635313404,118.27887037203732,63.23,42,64,3.94,1799897
puerto ayacucho,ve,4.940069994156218,-65.80290028174026,74.57,100,80,2.82,3629710
kieta,pg,2.348393526766145,160.31768761851094,77.72,100,76,5.39,2094027
lompoc,us,22.515063451913917,-135.29486348080096,59.47,82,90,1.7,5367788
ambon,id,-3.934464545709787,128.0221230472702,82.4,78,20,8.05,1651531
waharoa,nz,-37.617652725419944,175.55761377084764,53.56,58,64,6.73,2180471
bichena,et,10.577008645896981,37.89912091449489,81.77,29,0,1.7,342190
lyubuchany,ru,55.19862401778002,37.585827276234454,57.79,71,0,11.18,532477
voyvozh,ru,62.30169252833514,55.38223134920287,33.98,68,80,10.31,471308
cayenne,gf,9.918804301608517,-44.684280038891245,71.6,100,90,2.15,6690689
byron bay,au,-27.961644111536813,156.95459488100482,66.2,88,75,18.34,2172880
andenes,no,73.34639305367486,14.55054925959513,48.2,87,20,7.74,3163146
reo,bf,12.59608538669626,-2.566326898052381,84.11,86,20,6.06,2356228
shirokiy,ru,64.1958972941683,147.64140181536095,40.19,87,88,6.17,2016680
kaa-khem,ru,51.845058019455706,95.0188952426567,55.81,68,8,2.93,1505187
bhattiprolu,in,16.14420566135358,80.79191329234044,84.2,74,75,3.36,1276054
qasigiannguit,gl,67.97243290562187,-49.523490621172584,24.8,73,56,13.87,3420768
alegria,ph,9.51264276781096,125.57205391210647,83.66,91,0,11.21,1731554
vila velha,br,-26.326951308791045,-30.426470616257262,73.4,83,0,2.24,3445026
batagay,ru,65.8515087832833,137.75412240751228,22.64,85,88,3.04,2027044
dalbandin,pk,29.404161092929527,63.72964511038316,82.85,28,0,8.52,1180729
lima,pe,-16.159912582962377,-84.13579002539181,52.57,84,36,2.15,3936456
broome,au,-15.56568897486487,119.96830020092654,82.4,69,8,16.11,7839347
neftcala,az,38.675284168061154,50.20115668644212,61.16,100,80,5.95,147425
zaraza,ve,7.871670505581406,-65.93523698243149,72.46,90,0,3.15,3625066
menongue,ao,-13.937924339985969,19.37712182872812,81.37,29,12,3.71,3347353
that phanom,th,16.985092267717533,105.49661753338023,91.45,48,40,2.24,1605483
pedasi,pa,6.776181437197451,-79.11100630073642,80.96,100,0,14,3703239
salisbury,us,37.659245215246614,-75.65035306205314,46.96,74,1,8.05,4368711
kundiawa,pg,-6.895203568469711,144.6967649370443,60.76,100,92,1.92,2093059
malaya serdoba,ru,52.59484002254791,44.79753572534736,52.12,81,80,7.4,531383
belmonte,br,-15.861286400904504,-32.06325348939234,73.4,88,0,5.82,3470137
sovetskiy,ru,68.12838635790078,65.32377631672514,59,82,0,10.29,490039
sept-iles,ca,56.58673718000435,-66.51046056207291,32,83,75,8.05,6144312
catuday,ph,17.795932514117155,117.74412774448285,79.84,100,48,0.25,1717787
kahului,us,37.64717474788361,-145.4174076075684,72.48,93,90,6.93,5847411
aldan,ru,58.096084507819455,124.90554646989841,29.39,65,80,2.93,2027968
khash,ir,27.8450188516005,61.25332606702551,81.14,19,0,3.6,1160571
araceli,ph,10.399042436949628,120.09345978590699,84.61,100,8,4.83,1730272
waddan,ly,26.259184325400128,18.39338621138529,79.52,34,100,7.4,2209055
sur,om,15.731423971769246,61.684485684421986,88.57,74,92,8.63,286245
flin flon,ca,63.57673041831603,-102.29704151602988,25.88,100,68,8.3,5954719
ontario,us,43.15959075468703,-118.27969201466102,40.05,78,1,3.38,4924493
nambucca heads,au,-30.993766727285788,153.3961791208012,66.2,82,40,14.99,2155858
rudsar,ir,37.9917012683909,51.05075273240672,68.81,68,40,4.7,118191
yar-sale,ru,68.22064898143063,72.76839741069568,27.5,100,56,9.98,1486321
scarborough,tt,10.445663652005791,-59.11103562967473,78.8,83,20,3.36,3573703
pucara,pe,-8.064842731425841,-77.41315144964034,51.8,83,40,6.93,3931656
ocampo,mx,27.817679496666614,-102.38150934621434,47.71,92,24,2.71,3994535
sinnamary,gf,7.438099213456638,-52.28368844862662,79.43,99,0,4.38,6690707
jamsa,fi,62.34804291776797,25.19999127722315,60.8,72,0,11.41,656083
bogota,co,4.661753651653086,-74.10993636859156,53.6,87,40,3.36,3688689
richards bay,za,-32.17532094740778,39.31686653077088,64.85,95,64,3.94,962367
omsukchan,ru,60.83503011778126,156.38360200772036,18.82,86,76,6.85,2122493
iberia,pe,-11.826813922715075,-69.69679959598366,72.59,97,8,2.48,3938531
sechura,pe,-7.873050226169099,-84.73336495487735,62.96,95,92,8.41,3691954
magadan,ru,57.098934739534855,150.21235596858276,39.2,55,0,8.95,2123628
high level,ca,59.16749964380239,-117.59593848162606,30.2,80,90,5.82,5975004
milazzo,it,38.26195532329791,15.34220843322072,65.26,88,75,13.33,6540055
boende,cd,-0.7333091659651814,19.552785977511746,80.15,86,76,2.48,218680
coromandel,nz,-36.57588068871128,175.47145248085513,53.6,81,0,9.17,2192093
boguchany,ru,59.70671426716282,96.66608159655743,52.12,50,0,2.71,1509844
elko,us,41.11431259422196,-115.54463101177339,33.98,20,1,5.61,5703670
puerto el triunfo,sv,12.458748205389227,-88.77479923520362,73.4,100,20,4.7,3584003
north bend,us,42.25807461990297,-132.187899094366,42.93,85,90,11.41,5074013
lashio,mm,22.29029876993424,97.97611072514871,76.06,79,92,2.37,1314759
tindwari,in,25.708868097112813,80.35577421507838,92.21,36,0,11.21,1254442
usoke,tz,-5.116167688147087,32.31026353066056,82.4,39,20,9.17,149114
keffi,ng,8.481684403060086,7.623128860288432,77,83,20,3.36,2334652
port-gentil,ga,-3.062224629731034,0.8808408390212321,82.4,83,75,11.41,2396518
pembroke,ca,46.412533016019836,-76.77877247757934,35.47,98,0,4.5,6100832
quatre cocos,mu,-17.559111159977093,62.815876883547105,78.8,61,20,11.41,1106643
formosa,ar,-26.012623366472326,-58.28886472954609,64.4,82,0,12.75,3433899
pleasanton,us,28.800192679291,-98.87461937719583,56.5,82,20,3.27,5383777
grindavik,is,56.83451690443218,-28.586527677772295,39.9,86,75,8.05,3416888
harlingen,nl,54.82885740515604,4.852160276112926,63.3,63,90,9.17,2754817
matara,lk,4.214629937524535,80.80688841436688,83.57,87,20,8.97,1235846
ahuimanu,us,27.80592920818509,-155.68334524872725,75.61,87,20,3.36,5856516
mizdah,ly,30.76886250291787,13.326425895474728,69.62,64,8,4.72,2214827
madang,pg,-4.4237442671729355,146.70428399179252,78.31,95,36,3.71,2091996
hua hin,th,12.648506889514849,99.25354843921565,87.8,66,75,4.7,1153269
los chiles,cr,10.81807557603753,-84.53483678733498,70.25,100,8,2.26,3623008
jurado,co,6.598584923480956,-78.55406276088092,77.77,100,92,6.96,3680090
caloundra,au,-26.807128052838614,154.52301290670204,66.2,88,75,8.05,2172710
mayo,ca,62.40412207161128,-134.78901493012222,37.4,77,90,9.17,6068416
khorixas,na,-21.13090467182981,14.498760301540926,72.77,75,0,3.38,3356213
douglas,us,43.116460180016276,-104.56966385961596,53.96,93,40,5.82,5293083
karratha,au,-20.44158538463992,115.29336195429426,90.41,18,0,13.33,6620339
tamiahua,mx,21.368674185307256,-97.1535700097144,82.09,95,76,12.55,3516376
montepuez,mz,-13.597129976005846,39.41300576721912,89.15,45,0,6.4,1037125
pingyin,cn,36.09608236039844,116.51888824023462,66.2,52,0,5.28,1798632
trairi,br,4.9066236023050465,-35.27603713593061,80.29,98,24,18.48,3386177
vanimo,pg,2.4407139554922423,142.02347211280875,85.19,100,0,6.51,2084442
priyutovo,ru,54.08562801248095,53.914209444554274,37.27,68,12,9.86,505014
portlethen,gb,56.477585033690616,-1.5706387456359039,46.4,87,92,4.7,2640030
paralimni,cy,34.69385303591798,34.2886961910356,81.45,45,20,8.05,146209
mildura,au,-34.63972982768485,141.81651003987713,78.8,35,8,17.36,2157698
half moon bay,us,34.21202003225888,-127.72702109636154,55.67,82,40,2.93,5354943
saint-medard-en-jalles,fr,44.858048052637855,-0.8213768542143782,71.6,68,0,12.75,2978072
juneau,us,58.52683605296497,-131.34287985170795,41.52,88,90,8.41,5258190
huntington,us,38.243042652617646,-82.20573397162009,44.96,82,75,3.15,4809537
yongan,cn,25.801701665842245,116.65925546632195,47.71,98,92,2.71,1806687
vilyuysk,ru,60.991121745132176,121.60227169079627,27.86,76,0,2.71,2013392
mindelo,cv,16.30173194237277,-26.035194845479396,77.27,100,0,14.79,3374462
pemangkat,id,3.773455277523013,107.15809862367371,80.92,88,92,3.04,1631637
aykhal,ru,66.39821126630466,108.48162393043447,31.51,75,0,7.74,2027296
cam ranh,vn,11.14310152911284,110.57813639202772,81.01,91,44,7.52,1586350
alvor,pt,37.16601113003601,-8.64060531614976,62.6,63,0,11.41,8012021
hambantota,lk,3.9808274341900187,82.28094122194159,82.36,100,12,11.21,1244926
siocon,ph,8.053545191024625,120.5054914964864,80.96,89,76,2.71,1686123
yarovoye,ru,52.66129351551555,78.29356906030847,34.79,90,76,25.64,1486340
shelburne,ca,39.123902892677535,-65.93423098025977,33.98,92,1,2.24,6145890
ahome,mx,26.131949729724653,-109.7374798396457,65.57,87,0,3.15,4019098
leshan,cn,29.806849229418034,103.88879868237268,59.14,100,100,4.16,1804153
rapid valley,us,43.5750498082632,-102.7881338620369,24.8,79,90,10.29,5768244
meadow lake,ca,57.60321746667887,-108.39435268130691,13.82,71,0,3.04,6071421
brookfield,us,43.11558312960136,-88.09429260132268,38.44,92,1,10.09,4885689
braganca,br,-1.3499580410503,-46.721410688333435,78.17,86,100,4.16,3405006
leh,in,33.85073394642261,77.63020083417985,27.64,32,76,1.7,1264976
maues,br,-4.532040842369298,-57.77013316128952,77.99,77,0,4.38,3395062
horsham,au,-36.56501185567883,141.8379861597881,72.82,52,32,16.35,7839554
yeniseysk,ru,59.56273934414074,90.67182304298166,48.56,46,88,4.61,1485997
great yarmouth,gb,54.91484119652324,2.6111259026375535,62.6,82,75,8.05,2647984
po,bf,11.180005736341926,-1.3744985169925883,83.75,82,0,5.95,2356454
gazli,uz,40.857159213952485,63.276729544592484,59.09,51,24,9.64,1513990
otradnoye,ru,44.373059839860275,146.23106918479863,59,77,0,8.95,825214
oliveira dos brejinhos,br,-12.452164816975085,-42.9133243955618,66.52,81,0,5.06,3455903
planaltina,br,-14.92407764353321,-47.7752856390662,69.8,83,0,3.36,3453420
chivilcoy,ar,-34.955295339086206,-59.79439662191666,48.11,80,0,6.06,3861344
samarai,pg,-10.752702495668316,154.05832827582356,79.07,100,32,15.9,2132606
shepsi,ru,43.378835834890054,38.551691922928484,71.06,92,0,3.49,494846
beroroha,mg,-20.781639812970354,45.17802954487723,93.52,29,0,3.04,1066831
broken hill,au,-30.48192118730536,141.67483929847361,78.26,32,8,14.12,2173911
delta del tigre,uy,-35.33349637046095,-56.621639820735666,50,81,0,6.73,3442778
warrnambool,au,-40.06852335052382,142.97072737982057,69.49,61,36,10.98,7839830
seoul,kr,39.52782088680959,127.80307665652413,60.75,54,0,9.17,1835848
qaqortoq,gl,60.95670407012375,-46.73337305908626,24.8,58,40,4.7,3420846
tigil,ru,57.68689032290652,156.44064164003333,36.68,95,68,6.4,2120612
monrovia,lr,3.4103719684931235,-13.486657875867479,75.2,94,40,5.82,2274895
black forest,us,39.18160726490538,-104.33594727151541,27.73,79,90,25.28,5414069
mareeba,au,-16.173714157100378,142.27846992091185,75.2,83,20,3.36,2158767
pacifica,us,37.35077813034023,-124.50647698021513,54.91,80,20,3.36,5380420
prince rupert,ca,54.36404593537881,-131.13801394188584,41,100,1,3.36,6113406
kharagauli,ge,41.89974462214502,43.25444538632496,75.2,50,0,6.93,7667751
muros,es,44.38730258723547,-15.656038302629781,51.8,100,75,6.93,6357322
pedro ii,br,-4.884662829397669,-41.39554141033918,79.16,63,48,2.15,3392431
buctzotz,mx,21.46223217895546,-88.60850725367362,77.63,87,0,4.61,3532089
shubarshi,kz,47.705941734961016,56.59153181771657,48.2,46,48,8.75,608270
sao joao da barra,br,-34.616114831348646,-22.398158740709277,74.62,100,92,9.53,3448903
synya,ru,64.33462694618748,58.59581741146542,35.74,84,88,7.07,485215
sinop,tr,42.31604671625462,34.42102174245579,68,72,40,9.17,739600
daru,pg,-9.448463584382864,144.21711564916592,80.92,88,0,13.44,2098329
umm kaddadah,sd,11.956491930026203,25.98398862661469,89.69,17,12,16.24,364933
inhambane,mz,-22.65251772068237,38.77438319191299,77,73,40,11.41,1045114
tricase,it,39.032431253065056,18.490144223160968,70.75,77,20,6.93,6540769
progreso,mx,32.0367104424934,-115.63916076117687,77,94,5,5.82,3521108
hofn,is,58.70353075262966,-13.99815334214756,44.06,100,92,17.69,2630299
balabac,ph,9.186458581602864,113.67703714086963,77,100,92,11.77,1728675
miramar,mx,22.696799513037277,-96.95697469609141,83.3,94,88,9.19,3523150
eureka,us,40.67183310173397,-137.72585963091979,46.6,96,1,3.36,5563397
blackwater,au,-23.38715787057781,149.23606459399747,72.82,63,0,5.39,2175403
hamilton,bm,28.50946334097071,-62.98092990552583,75.2,94,90,11.41,3573198
yokadouma,cm,3.144680526890454,14.934316987232648,76.06,88,68,3.27,2220853
bandarbeyla,so,9.550037436209493,54.659273960889664,78.98,89,64,19.6,64814
abeche,td,13.774825966073152,21.293132704214827,91.4,19,0,6.93,245785
imeni babushkina,ru,59.87079710779162,43.55982309014652,41.77,99,92,8.52,556858
manzanillo,mx,16.632825113598756,-105.22244386536218,72.68,100,32,2.93,3996663
warrington,us,29.16026961338612,-86.94882721495672,66.65,57,1,10.29,4177465
westlock,ca,54.24714778701636,-114.09021011267032,21.52,70,0,8.63,6179138
gayeri,bf,12.626537897007339,0.13070366098548902,86.18,76,24,6.51,2360541
birao,cf,9.99897269775066,22.847626295177918,84.79,67,0,4.38,240210
wilmington,us,31.371674728976856,-76.14634711247405,42.4,76,75,5.39,4145381
camacha,pt,37.19898654022862,-15.955959623043782,69.01,60,40,10.29,2270385
takoradi,gh,-2.404590209097421,-1.551501052934242,78.8,97,80,0.69,2294915
cairns,au,-15.818289409906228,148.35594817881105,75.2,83,20,3.36,7839567
santa isabel do rio negro,br,1.2491166067096628,-63.445624424046926,73.99,97,20,2.71,3662489
zambezi,zm,-12.559651623177842,22.311280592685932,84.29,38,88,9.98,895953
harrismith,za,-28.600877002940926,29.53741452081698,58.51,79,88,4.94,997751
strelka,ru,58.100791413696214,93.34254996077141,66.2,34,0,22.37,487246
mandan,us,47.10851414735268,-101.5280354037591,27.86,66,80,11.65,5690366
norton,zw,-18.130173687842117,30.542886343498083,83.57,39,0,10.87,884141
khandbari,np,28.180294574804734,86.70830170534498,42.76,70,44,0.69,1283217
hovd,mn,46.2509391004981,100.16911303256313,56.93,25,0,4.05,2030474
saint-augustin,ca,58.14296637093915,-62.32922274958271,40.96,100,92,13.89,6137462
kavaratti,in,13.351447197574032,69.6372279245524,82.67,100,92,3.94,1267390
vryheid,za,-27.763280647103706,31.202701767611586,55.22,100,68,3.94,942470
badiraguato,mx,25.36978360098915,-107.04577044225643,66.07,89,0,1.92,4017743
gamba,ga,-7.903070365906416,4.091312154032295,79.84,94,92,4.94,2400547
biltine,td,16.141249737271295,22.824611518417072,95.32,19,24,14.23,244878
taksimo,ru,56.69302271575401,115.73087587413062,34.21,61,0,2.04,2015701
iturama,br,-19.57730230639244,-50.429424116121425,72.37,93,36,1.81,3460513
noumea,nc,-27.819639651976622,164.56035454530382,71.6,73,90,14.99,2139521
nadym,ru,64.82174553354173,72.23193913190738,31.24,85,88,8.63,1498087
san quintin,mx,20.92925238306087,-126.03279254031993,48.02,100,0,3.83,3984997
la orilla,mx,17.483472135591114,-103.13051581091234,73.13,100,68,3.6,4001056
tamara,hn,14.15421501987744,-87.31917616944314,67.87,93,75,2.24,3601039
